year,region,seed_variety,rainfall_mm,temperature_c,fertilizer_kg_ha,soil_ph,soil_organic_matter_pct,field_size_ha,pests_index,irrigated,yield_t_ha
2013,North Central,Local,,24.75,80.6,5.93,1.41,0.99,4.59,0,3.78
2018,North Central,Improved A,1184.4,26.39,69.9,6.07,2.53,1.68,2.8,0,4.83
2010,North East,Improved B,1011.5,24.52,130.2,,2.29,2.44,3.07,1,5.09
2017,South East,Local,1129.8,23.36,53.3,6.15,1.65,0.62,3.26,0,4.37
2016,North East,Improved B,776.8,24.78,126.9,6.23,1.23,2.2,1.07,0,4.77
2011,North East,Improved A,1175.4,25.93,126.4,5.56,1.93,0.88,3.77,0,4.69
2017,North East,Improved A,952.9,25.14,82.2,5.77,1.78,2.7,1.64,0,4.44
2010,South West,Local,924.1,24.62,62.4,5.43,2.06,0.93,0.93,0,3.86
2020,South West,Improved A,1245.0,23.19,70.2,6.79,1.82,2.5,4.29,1,4.92
2021,North West,Local,1548.0,25.83,149.0,4.94,1.0,3.2,4.39,1,4.17
2018,North West,Improved A,1429.6,22.99,104.0,6.89,1.81,2.76,4.91,0,4.84
2018,North East,Improved A,807.4,27.52,19.7,7.03,1.85,1.92,2.34,1,4.77
2011,South East,Local,952.6,26.16,67.0,6.02,2.32,1.44,5.87,0,4.12
2016,North Central,Local,1435.2,23.08,23.8,4.64,1.65,1.17,2.74,0,3.13
2023,South West,Local,954.4,25.38,28.8,5.98,2.84,3.99,5.34,1,4.04
2019,South East,Improved A,1143.8,24.5,37.0,6.16,1.04,1.08,4.98,0,4.15
2012,South South,Improved A,1337.5,26.64,12.9,5.59,2.66,0.88,1.96,0,3.84
2016,South West,Improved B,957.9,28.68,22.4,5.89,1.89,2.46,2.07,0,4.01
2021,South West,Local,1226.3,22.25,134.9,7.12,2.43,1.02,3.09,0,4.89
2019,North West,Improved A,866.5,26.23,28.6,6.6,2.04,0.93,6.46,1,4.78
2018,North Central,Improved A,1049.7,25.68,90.9,5.65,2.57,0.69,2.2,0,4.21
2013,North Central,Local,1279.9,27.34,57.0,5.24,1.81,1.23,3.28,0,3.53
2021,South South,Improved B,801.8,26.43,74.6,6.0,1.45,1.57,3.33,0,4.69
2010,South South,Local,1310.1,24.5,76.9,6.07,2.71,1.91,2.14,0,4.69
2011,South West,Improved B,1195.1,25.36,21.5,6.5,1.94,2.92,5.73,0,4.35
2010,North East,Improved A,1338.1,24.41,90.6,5.88,2.11,2.26,2.05,0,4.67
2023,North West,Improved B,,28.15,15.8,6.51,2.62,1.47,3.41,1,4.57
2021,North West,Improved A,1541.0,26.04,,7.36,1.48,1.46,3.7,1,4.28
2014,South West,Local,1231.3,29.8,76.1,6.69,2.3,2.24,4.46,0,3.87
2014,South East,Local,1092.6,25.88,20.2,6.17,1.71,3.54,3.3,0,3.64
2020,North East,Local,1230.6,24.58,6.0,6.09,1.93,1.78,1.7,0,4.19
2016,South West,Improved B,1335.8,22.97,64.8,5.99,2.04,1.24,5.63,1,4.36
2018,North East,Improved A,1212.2,22.39,10.6,6.91,,0.91,0.1,1,4.44
2018,North East,Local,1210.1,22.83,81.2,5.82,1.61,0.69,2.5,0,3.76
2012,North East,Local,1024.5,26.53,39.2,6.23,2.68,2.46,2.82,0,4.35
2012,South West,Improved A,1034.3,27.02,64.1,6.23,2.44,2.33,4.03,0,4.5
2012,North West,Local,849.3,22.84,63.3,5.9,1.97,2.33,1.95,0,4.03
2013,North West,Improved A,1637.4,27.79,85.4,5.38,2.12,1.53,3.99,0,4.04
2017,North East,Improved A,,25.03,77.7,6.39,1.85,3.83,3.21,0,4.47
2015,South East,Improved A,1026.8,26.29,20.1,6.16,2.68,1.23,3.99,0,4.48
2017,North Central,Improved A,1020.4,29.22,41.1,6.5,1.9,2.92,4.49,0,4.26
2010,South West,Improved A,1423.7,27.79,64.1,,2.12,1.61,3.79,0,4.1
2017,North Central,Improved B,1126.3,25.46,128.4,6.93,2.57,1.14,4.65,0,5.43
2013,South East,Local,1511.9,24.22,78.2,5.67,1.61,2.35,3.45,0,3.98
2020,South West,Improved B,1031.6,21.7,121.1,7.23,,2.11,1.65,0,5.52
2010,North East,Local,1269.7,24.56,66.5,5.15,1.23,2.04,1.37,0,3.75
2017,North West,Improved B,991.2,25.58,,6.46,,1.73,3.67,0,4.74
2013,North Central,Improved A,1736.3,24.03,60.3,6.49,1.81,1.61,1.47,0,4.54
2015,South South,Local,903.1,25.74,102.4,5.72,1.88,6.91,0.4,0,4.18
2017,South South,Local,1277.5,26.15,37.6,6.45,1.05,3.36,5.97,0,4.06
2013,South East,Improved B,1358.4,25.55,138.3,6.97,1.77,2.54,6.43,0,5.16
2023,North East,Improved B,1303.4,24.7,72.0,4.87,1.48,1.76,1.45,0,3.86
2012,North Central,Local,1153.7,26.34,13.0,6.5,1.7,3.02,2.15,0,4.27
2023,North East,Improved B,1167.5,26.88,65.6,4.7,1.93,2.25,1.68,1,4.4
2018,North Central,Improved B,1211.0,23.82,78.3,5.62,2.48,1.67,3.59,0,4.56
2012,South East,Improved B,1163.2,28.82,92.7,7.18,2.1,1.37,1.61,0,5.12
2018,South East,Improved A,1441.0,25.8,170.3,5.85,2.15,1.57,1.98,0,4.38
2022,South South,Improved A,1752.6,26.04,32.9,5.5,1.45,0.25,4.23,0,3.79
2011,North East,Improved B,1060.6,27.42,171.0,6.08,1.56,1.87,1.02,0,5.01
2023,South West,Improved B,857.5,26.47,50.1,7.44,2.9,1.23,3.04,0,5.08
2011,South South,Improved A,1177.9,27.91,26.4,5.1,1.63,4.29,0.93,0,3.69
2011,North East,Improved A,1844.9,26.57,33.5,5.57,2.83,1.67,1.38,1,4.45
2015,South South,Local,999.1,24.78,,7.1,1.88,0.81,0.81,0,4.44
2012,South West,Local,1609.8,26.72,23.1,7.31,2.0,1.6,2.64,0,3.87
2022,North West,Improved A,1619.4,23.71,38.1,6.14,2.54,0.88,3.0,0,4.43
2018,North West,Improved B,1061.6,26.22,64.5,5.46,2.64,2.19,0.28,1,4.53
2013,North West,Improved B,1342.2,25.93,137.6,7.46,1.94,1.96,2.5,1,5.0
2010,North West,Improved B,1607.1,25.58,90.9,7.16,1.81,2.93,0.79,0,4.89
2013,North Central,Improved B,1105.2,25.74,51.7,6.61,1.97,1.03,6.54,1,4.72
2010,North West,Local,1149.1,22.24,74.9,5.71,2.17,1.68,4.51,0,3.97
2023,South West,Improved A,1054.6,24.9,59.9,6.17,2.45,0.73,3.32,1,5.41
2014,South East,Improved B,946.3,26.19,17.4,6.1,2.0,2.51,4.6,1,4.49
2013,South East,Local,1037.7,26.32,153.5,6.4,2.31,2.25,2.21,0,5.43
2017,North Central,Improved B,894.0,23.94,139.0,7.07,2.82,2.22,4.2,0,5.28
2017,North West,Improved A,1208.5,28.53,47.2,6.73,2.19,1.65,1.42,0,4.55
2016,North West,Local,1007.5,24.27,34.5,5.55,2.16,2.11,2.56,0,3.8
2012,North West,Improved A,1258.4,27.94,17.8,7.03,1.24,4.32,1.28,0,3.95
2010,South South,Improved A,,26.85,78.2,6.39,0.68,1.39,7.53,0,3.83
2010,North East,Local,1282.7,24.71,78.6,6.61,2.19,1.79,0.38,0,4.1
2021,South South,Local,1408.4,29.55,24.9,,1.95,0.86,0.84,0,4.29
2020,North East,Local,701.6,23.61,60.5,5.53,1.74,0.98,1.47,0,3.0
2012,North West,Local,1293.5,27.84,89.0,6.18,2.12,1.75,5.22,0,4.26
2015,North West,Local,1506.9,28.0,,5.88,1.97,3.2,2.41,0,3.45
2016,South South,Local,897.6,24.66,42.8,5.26,2.56,1.41,1.63,0,3.68
2015,South South,Local,1618.1,28.78,42.4,6.41,2.04,1.43,3.94,0,3.74
2023,North East,Improved B,1304.8,25.5,26.3,7.71,1.63,1.29,7.31,0,4.37
2023,South East,Improved A,1023.7,26.58,43.5,5.1,2.5,1.2,1.98,0,3.94
2015,North East,Local,1186.1,26.52,10.8,6.18,1.89,1.97,4.24,1,4.41
2015,South South,Improved B,1339.6,25.73,40.7,6.58,2.26,0.67,4.53,0,4.87
2022,South West,Improved B,1219.0,27.62,41.2,6.27,1.76,3.56,1.61,0,4.16
2012,South South,Improved B,1334.7,27.59,47.6,6.13,1.68,1.11,0.84,0,4.47
2015,South West,Improved A,969.8,22.5,71.0,5.42,2.04,2.54,1.73,0,4.65
2017,North Central,Local,1242.3,28.61,16.4,6.34,2.01,0.77,3.49,0,3.73
2020,South South,Improved B,846.6,22.68,19.5,5.75,2.24,2.46,2.69,0,4.37
2020,North Central,Improved A,1172.2,28.07,25.7,4.89,1.87,2.47,2.19,0,3.72
2011,South East,Improved A,974.0,28.25,14.7,6.92,1.08,2.08,1.38,1,4.32
2014,North East,Improved A,1016.1,23.82,76.8,6.78,1.78,0.91,1.47,0,4.7
2023,South West,Improved B,1509.0,25.18,31.4,6.23,2.4,1.92,3.41,0,4.84
2010,North East,Local,1472.8,23.79,48.8,6.34,1.85,0.81,2.27,1,4.24
2021,North Central,Improved B,1352.3,25.57,23.8,,1.88,1.42,2.48,0,4.67
2010,South West,Improved B,926.9,25.38,37.3,6.33,2.49,3.06,0.11,0,5.01
2014,North East,Local,1120.9,27.56,62.6,6.74,1.64,2.66,1.8,0,4.3
2021,South South,Local,1503.3,28.62,64.8,6.02,1.23,1.66,5.18,0,3.87
2022,North West,Local,1235.4,28.79,20.3,,1.92,0.92,4.94,0,3.65
2012,North Central,Improved A,1779.8,24.88,46.9,6.39,1.76,2.43,4.68,0,4.45
2013,North East,Local,1298.3,25.58,24.2,6.32,1.52,1.67,4.45,1,4.18
2012,North Central,Improved B,1248.0,22.63,45.6,5.44,1.91,0.41,2.79,1,4.08
2010,North Central,Local,1122.7,24.39,29.2,6.37,2.25,2.64,4.6,1,4.38
2010,South West,Improved B,1233.4,27.93,,5.7,2.0,1.62,1.68,1,4.55
2021,South West,Improved A,1161.9,29.23,88.6,5.82,2.15,3.39,4.9,0,3.8
2021,North West,Improved B,1377.0,23.53,66.9,5.71,2.91,0.85,1.91,0,4.6
2023,South South,Improved B,1439.2,24.82,40.0,5.56,1.83,0.25,4.28,0,4.19
2022,North Central,Local,1003.5,25.95,90.4,7.47,2.14,1.95,3.84,0,4.34
2023,North East,Local,867.2,26.56,48.0,7.0,1.75,1.96,2.47,1,4.5
2014,South East,Improved B,740.9,24.38,149.3,7.35,1.58,0.6,0.28,0,4.87
2015,North Central,Local,1327.0,26.85,96.6,5.47,1.71,0.92,5.7,1,3.92
2012,North Central,Improved A,924.2,25.05,37.1,,1.76,8.61,3.63,1,4.62
2021,North West,Improved A,,25.97,138.2,5.42,2.18,1.37,2.72,1,4.7
2018,South South,Local,1297.1,27.09,40.1,5.78,3.17,2.56,3.21,1,4.44
2014,South East,Improved A,1823.2,26.01,165.9,5.65,1.64,1.12,0.68,0,4.5
2017,South West,Local,1198.5,25.13,143.1,6.94,1.79,0.47,1.45,0,5.1
2022,South West,Improved B,1409.6,25.78,62.3,5.96,1.97,1.49,4.89,0,4.43
2010,North East,Improved B,1220.5,25.82,11.3,6.84,2.2,1.41,5.71,0,3.7
2023,South East,Improved A,1175.3,25.26,58.9,6.56,2.13,1.3,1.22,0,5.07
2014,South West,Local,1429.8,25.48,18.4,7.58,2.64,1.54,3.2,1,4.26
2012,North East,Local,1127.4,29.2,30.0,5.31,0.79,1.93,2.86,1,3.64
2021,South South,Improved A,1266.8,27.12,31.9,6.96,0.81,1.51,4.25,0,4.22
2010,North East,Improved B,1280.4,25.41,18.3,6.89,1.75,0.77,2.11,0,4.24
2013,South West,Improved A,1033.0,27.39,59.0,5.62,2.55,2.21,4.12,0,4.32
2022,North West,Improved B,1448.0,25.33,27.0,6.8,,0.51,4.49,0,4.34
2014,North West,Local,1156.3,28.35,41.6,6.4,0.5,0.48,2.68,0,3.37
2016,North West,Improved B,1011.1,26.74,32.1,6.06,2.29,2.57,4.18,0,4.77
2010,South West,Improved A,1334.1,25.79,71.2,5.71,2.12,2.23,1.5,0,4.32
2012,North West,Local,975.4,26.9,67.6,5.77,1.45,1.59,4.72,0,4.04
2011,South East,Improved A,1207.0,22.86,39.0,7.43,1.51,0.71,0.89,0,4.47
2018,South South,Improved A,1197.7,23.75,73.7,6.2,1.52,1.08,4.68,0,4.83
2019,North East,Improved B,1471.5,23.61,114.3,6.67,2.06,1.41,4.69,0,4.86
2015,North East,Improved A,1318.7,26.29,4.9,5.73,1.69,0.63,3.48,0,3.96
2019,South West,Improved B,1193.7,29.47,30.6,5.73,2.25,1.06,2.64,0,3.84
2012,North West,Local,1404.4,30.46,21.8,6.85,0.57,2.44,1.84,1,3.74
2017,North West,Improved B,1547.6,27.28,28.3,5.39,1.57,3.88,4.11,0,3.33
2023,North Central,Local,1339.5,27.0,3.8,5.95,1.44,1.28,0.6,0,3.92
2017,South South,Improved B,1202.6,22.4,4.6,6.22,1.87,2.6,1.82,0,4.12
2011,South East,Improved A,872.0,24.91,33.0,6.27,1.73,0.52,3.75,0,4.04
2015,North East,Improved B,933.7,24.42,32.3,6.09,2.4,2.45,1.91,1,4.65
2016,North Central,Improved B,1123.7,24.76,125.3,6.44,1.07,1.02,2.12,0,5.1
2011,North Central,Local,1047.6,25.66,55.7,6.62,2.02,1.98,2.94,0,4.44
2020,South West,Improved A,1153.3,25.06,72.4,6.64,2.28,1.42,2.77,0,4.93
2019,North East,Improved B,1214.2,22.04,408.3,5.61,2.93,3.64,0.86,0,3.77
2011,South West,Improved A,1332.4,27.5,151.0,6.03,1.76,0.98,2.34,0,5.09
2019,South East,Improved B,1182.4,23.85,48.3,6.92,2.16,2.4,3.32,0,4.8
2010,North Central,Improved B,1321.6,26.48,35.3,6.74,1.1,1.39,4.31,0,4.43
2017,North Central,Improved A,1216.1,30.15,31.0,5.38,0.8,1.5,5.41,0,2.99
2010,South South,Improved B,706.1,24.16,63.9,6.41,2.42,1.48,3.62,0,4.81
2018,South East,Improved A,965.2,20.94,35.6,5.01,2.0,0.99,0.31,0,4.37
2020,North Central,Improved B,1164.0,25.43,17.8,6.23,2.59,1.63,6.81,0,4.52
2015,South East,Local,897.6,28.2,32.0,7.34,1.31,1.59,3.76,0,3.58
2016,North East,Improved A,1350.0,29.92,65.2,5.63,2.26,1.91,2.12,0,3.44
2022,North West,Improved B,1582.7,23.54,81.5,5.7,2.93,1.73,2.38,0,4.46
2019,North Central,Improved B,1504.7,26.99,161.2,6.66,2.21,2.66,3.46,0,4.61
2016,South South,Local,1146.6,25.07,53.9,5.27,2.14,2.87,1.37,0,3.7
2019,North East,Improved A,,25.79,118.9,5.82,2.0,0.88,1.22,0,4.57
2012,South East,Improved B,1237.2,31.29,42.8,6.56,1.21,2.78,2.6,0,3.9
2011,South West,Local,1115.7,22.99,47.6,5.82,2.68,0.81,6.85,1,4.63
2018,North East,Improved B,1046.6,26.51,45.6,6.06,1.69,2.35,4.04,0,4.33
2017,North Central,Improved A,1124.4,26.94,58.8,6.65,2.25,2.39,1.26,0,4.9
2022,South East,Improved B,1103.0,28.17,91.8,6.45,1.22,0.52,0.14,0,5.14
2021,North West,Improved B,1242.6,26.2,34.4,6.36,1.41,1.74,1.17,1,4.48
2019,North East,Improved B,1240.1,26.62,22.9,6.0,2.72,1.24,3.33,0,3.92
2016,North Central,Improved B,1200.8,25.22,96.9,6.42,1.83,1.05,2.08,1,5.48
2018,South South,Local,1309.2,26.54,92.2,6.13,2.73,3.71,4.59,1,4.79
2013,South West,Local,1497.7,25.31,131.5,6.47,1.96,1.11,1.41,0,4.72
2022,South East,Improved A,1437.4,27.24,30.1,,1.08,1.02,2.54,1,4.02
2013,North East,Local,828.8,25.26,41.6,6.09,2.45,1.73,5.07,0,4.08
2010,North East,Local,,26.75,99.4,5.61,1.71,2.49,1.38,1,3.69
2017,North West,Improved A,1433.6,25.94,34.0,6.18,2.35,1.51,1.8,0,4.75
2023,North West,Local,858.3,28.25,79.1,5.71,2.01,3.32,2.46,0,3.6
2023,South South,Local,1143.8,25.9,43.0,5.53,1.23,2.27,3.17,0,3.62
2021,South West,Improved A,907.5,22.45,63.6,6.36,2.08,0.45,2.63,1,5.52
2012,South South,Improved A,749.5,28.52,17.4,6.33,3.1,1.2,0.62,0,4.32
2016,North Central,Improved A,1335.4,24.19,53.4,6.67,2.25,1.18,1.34,0,4.94
2021,North Central,Improved B,1389.8,24.69,112.8,5.94,1.97,2.2,2.2,0,4.72
2011,South South,Improved B,1055.9,24.81,86.6,6.44,2.54,0.34,2.07,0,5.03
2011,South West,Improved A,552.2,28.75,21.5,6.53,2.11,7.61,4.88,0,3.83
2016,South South,Improved A,1063.4,21.73,152.8,6.47,2.1,2.27,5.76,0,4.76
2015,South West,Improved A,1298.0,32.28,108.1,5.7,1.45,1.8,5.1,0,3.42
2012,South West,Improved B,830.3,28.11,18.2,6.29,2.12,3.35,1.23,0,4.37
2018,South East,Improved B,1245.8,26.45,32.2,6.42,2.52,6.73,5.34,0,4.69
2019,South West,Local,1196.2,25.89,19.2,6.2,1.58,2.78,3.0,0,4.13
2023,North West,Local,,26.57,64.9,4.95,2.71,2.91,2.03,0,3.57
2022,South West,Improved A,,27.04,31.0,6.3,1.95,1.78,2.61,1,5.57
2015,South West,Improved B,956.7,27.29,6.5,7.53,1.56,1.51,3.49,0,4.24
2019,South West,Improved B,1499.1,27.11,47.4,5.98,2.5,1.24,5.45,1,4.27
2019,North Central,Improved B,1160.4,26.18,94.3,5.76,1.86,1.0,4.11,0,4.54
2015,North West,Improved A,1193.2,25.61,54.2,6.42,2.38,1.09,0.27,0,4.65
2010,North West,Local,966.7,25.7,74.1,6.39,1.85,0.73,5.85,0,4.01
2013,South South,Improved A,1089.2,25.61,58.1,6.92,1.97,1.58,0.48,1,4.65
2019,South East,Local,978.8,28.27,84.1,5.45,,0.6,3.62,0,3.85
2015,South West,Local,1156.8,27.19,62.0,6.64,,1.85,4.45,0,3.98
2015,North East,Improved A,1627.9,20.12,45.4,6.55,1.0,1.61,4.16,0,4.18
2020,South East,Local,857.0,27.31,53.7,6.11,1.44,1.8,0.88,0,4.53
2021,South East,Local,796.6,26.39,,6.4,2.46,1.21,4.72,1,4.66
2014,North West,Improved B,1567.8,25.96,77.1,6.82,1.93,10.44,3.37,0,4.75
2010,South East,Local,1147.7,25.22,21.5,6.72,1.74,3.73,1.95,0,4.03
2017,South West,Improved A,1032.7,28.25,53.1,5.51,1.32,0.78,1.51,0,4.05
2014,South West,Improved A,1460.0,27.9,64.1,6.69,1.46,1.9,3.4,0,4.23
2021,North Central,Local,1048.6,24.45,44.2,6.16,0.99,1.14,3.59,0,4.38
2021,South West,Improved B,1656.5,26.81,6.5,6.24,,0.9,0.85,0,4.14
2021,South West,Improved B,1369.5,24.06,23.5,6.24,1.7,0.74,3.7,1,4.53
2014,North West,Local,1078.0,23.24,35.6,6.11,1.52,2.14,4.48,0,3.76
2016,South West,Local,1739.3,24.75,164.5,6.92,1.97,1.1,0.77,1,5.01
2013,North Central,Improved A,1048.6,27.72,71.3,6.15,2.18,2.95,4.17,0,4.76
2015,North East,Local,1385.5,27.91,10.8,5.53,3.05,2.99,4.64,0,3.61
2022,North West,Improved B,1274.8,27.03,46.5,5.96,1.24,3.76,1.99,0,4.15
2013,North East,Local,1525.4,27.45,120.9,6.31,2.58,0.99,6.4,0,3.58
2023,North West,Improved A,1590.4,27.03,30.6,6.94,2.49,2.19,1.55,0,4.75
2012,South South,Improved A,1208.0,24.72,102.0,6.56,1.61,2.41,2.06,0,4.96
2016,South East,Improved A,1011.6,26.86,11.2,,2.1,1.24,1.56,0,4.79
2017,South South,Improved A,1315.0,27.6,1.0,7.69,1.77,1.04,5.89,0,3.59
2013,South West,Improved A,1030.6,27.51,112.4,6.36,2.09,4.33,2.34,0,4.7
2022,North East,Local,1703.3,28.38,34.1,6.97,2.75,1.89,2.13,0,4.22
2011,South West,Local,1234.1,27.42,36.4,6.11,2.3,2.41,1.29,0,4.39
2021,South East,Local,1108.7,26.7,57.7,6.52,2.25,1.01,5.36,0,4.73
2019,North West,Local,1246.2,28.14,69.5,6.7,,0.79,1.57,0,4.22
2023,South East,Improved A,863.2,25.95,2.3,6.93,1.26,1.17,1.73,0,4.21
2012,North Central,Improved B,957.1,24.24,28.6,6.83,1.9,1.53,0.39,1,5.26
2010,South East,Local,1500.1,25.67,52.3,6.72,2.6,0.87,1.63,1,4.95
2017,North Central,Improved B,1035.8,24.51,69.4,6.01,,1.64,0.84,0,5.14
2012,South East,Local,938.3,24.65,21.2,5.86,1.47,0.6,2.55,0,3.56
2021,North Central,Local,1334.2,25.71,42.4,6.4,2.06,0.84,4.02,0,4.77
2019,North East,Improved B,1496.4,24.42,30.6,6.76,1.51,2.47,1.89,1,4.31
2016,South West,Improved A,1379.7,25.38,59.2,6.07,1.6,2.37,2.08,0,4.27
2019,South West,Local,1449.0,22.21,109.7,6.84,1.79,1.3,1.08,0,5.08
2014,South South,Local,1010.8,26.43,38.1,7.07,1.32,0.9,5.9,0,3.78
2019,South West,Local,844.5,26.0,13.5,5.65,1.51,0.89,5.26,0,3.59
2014,North West,Improved B,1575.3,24.37,27.2,5.7,2.35,1.32,4.11,0,4.08
2023,South East,Improved A,1119.3,27.32,151.8,6.12,1.35,2.43,3.92,0,4.76
2016,South South,Improved B,,27.88,,6.38,1.2,2.88,1.11,0,4.03
2018,North West,Improved B,1532.0,22.78,16.4,5.89,1.68,1.22,3.47,0,3.97
2021,North West,Improved A,1339.1,24.47,36.2,7.01,2.37,0.83,3.3,0,5.0
2014,North Central,Improved B,1314.0,24.46,46.5,6.45,1.9,1.94,3.6,0,4.75
2010,South West,Improved A,1741.3,24.12,32.2,6.22,1.77,1.01,0.34,0,4.66
2019,North East,Local,1039.1,27.66,11.3,5.34,2.02,1.21,1.63,1,3.93
2019,North East,Improved A,1432.0,25.61,63.5,5.41,1.13,3.65,1.06,0,3.76
2010,South South,Local,1214.3,25.47,59.2,6.37,2.25,2.71,1.55,0,4.74
2011,North East,Improved B,1267.1,21.99,81.9,4.92,2.19,1.81,1.93,0,4.0
2023,South East,Improved B,1582.1,27.27,58.3,6.81,1.8,0.77,2.8,1,4.91
2015,North East,Local,1327.0,23.52,143.6,6.11,2.5,1.87,3.51,1,5.43
2018,South South,Improved B,1334.6,26.12,86.4,8.15,1.44,3.12,5.22,0,4.21
2017,North East,Improved A,1468.1,26.55,74.6,7.58,2.56,1.32,1.36,0,4.55
2022,South East,Local,1108.8,28.72,112.4,6.09,2.08,3.71,4.05,0,4.41
2014,North Central,Improved B,990.2,23.38,55.6,6.14,1.83,3.58,2.72,0,4.77
2010,South South,Local,938.8,19.96,43.1,6.8,1.99,4.47,0.47,0,4.8
2022,North Central,Improved A,708.4,26.37,63.0,7.22,1.95,1.98,2.95,1,4.81
2016,North Central,Improved A,1714.1,29.6,6.1,5.22,2.61,2.35,5.01,0,3.85
2014,North Central,Improved B,924.2,28.48,55.8,5.13,1.46,3.85,4.86,1,3.51
2015,North West,Improved A,1144.7,26.42,46.4,5.83,,2.16,2.2,1,4.41
2022,South West,Local,1130.8,25.02,68.1,6.55,2.52,1.22,2.54,0,4.56
2016,North West,Improved A,1276.9,27.61,102.2,6.5,1.7,1.26,3.99,1,4.76
2012,South West,Local,1403.9,24.05,76.2,,2.45,1.9,3.64,0,4.43
2021,North Central,Local,1415.1,26.95,27.3,5.48,2.85,0.76,3.04,0,3.92
2019,South South,Improved A,1054.2,27.01,91.0,4.81,1.8,1.51,1.88,0,4.4
2012,South West,Improved B,1158.2,28.12,145.0,6.71,2.34,3.18,4.52,0,5.17
2014,South East,Improved A,1270.6,31.52,104.0,5.7,1.42,0.44,1.81,0,3.82
2015,South East,Local,1137.8,26.78,14.8,4.99,2.38,4.14,4.44,0,3.35
2018,North East,Local,1601.8,24.98,,,2.1,3.23,1.12,0,4.35
2022,South West,Improved A,1322.7,25.95,17.2,6.68,2.24,1.25,3.76,0,4.75
2023,South South,Improved B,1383.7,22.46,39.8,6.13,1.68,2.28,1.07,0,4.83
2021,North West,Improved B,1365.7,24.61,66.6,,1.17,1.65,4.28,1,4.36
2014,North Central,Local,1493.4,25.18,60.4,6.1,2.25,3.45,5.28,0,4.49
2010,North East,Local,1245.3,24.95,102.6,5.98,0.97,2.97,2.74,0,4.05
2023,South East,Improved B,875.8,26.3,145.4,5.39,1.84,0.71,3.68,0,4.35
2023,North West,Improved A,1299.9,24.36,71.5,5.77,2.47,2.35,5.02,0,4.15
2023,North West,Local,1037.2,28.24,37.4,6.51,2.1,1.46,4.73,0,3.76
2013,North Central,Local,1067.8,26.0,6.5,6.39,2.97,1.73,1.55,0,4.63
2014,South West,Improved B,1346.6,25.98,120.4,6.3,2.51,1.07,2.23,0,5.73
2021,South East,Improved A,1509.6,25.34,46.6,5.6,1.67,4.71,5.63,0,3.63
2019,South South,Improved B,1205.3,26.31,48.6,6.09,2.01,3.08,2.61,1,5.25
2019,North West,Improved A,1277.2,27.65,,4.89,1.98,1.06,3.65,0,3.57
2014,North Central,Improved A,1625.6,24.27,69.2,6.31,1.21,0.74,2.0,0,4.48
2016,South South,Improved A,,24.68,70.7,7.06,1.53,1.31,2.79,0,4.79
2013,South West,Local,1850.4,25.39,40.3,5.32,1.72,2.14,5.85,0,3.12
2010,South East,Improved B,,23.31,46.3,5.85,0.98,1.9,2.19,0,4.16
2023,South West,Improved B,759.8,24.36,30.1,6.4,2.02,3.5,2.74,0,4.63
2023,North West,Improved A,1388.3,25.05,27.3,6.95,1.88,2.65,2.36,0,4.42
2014,South South,Local,1295.3,27.75,27.2,5.93,1.16,2.95,4.49,0,3.6
2016,South South,Local,1522.4,26.53,45.8,5.78,2.2,2.01,3.42,0,3.85
2019,South South,Improved B,1368.3,26.39,22.7,5.02,2.36,0.72,1.89,1,3.9
2019,North West,Local,1165.4,27.7,0.8,6.26,2.11,1.47,0.7,0,4.02
2015,North West,Local,893.9,25.73,36.8,7.43,1.84,3.11,2.87,0,3.28
2014,South West,Improved A,1147.7,26.78,15.8,6.37,2.3,1.6,4.23,0,4.46
2013,North East,Local,987.4,25.79,54.4,6.19,2.34,2.23,2.54,0,4.69
